"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Elevation Loss","Avg Elevation Loss","Max Elevation Loss","Average Speed","Max Speed","Average Pace","Best Pace","Average Heart Rate","Max Heart Rate","Average Run Cadence","Max Run Cadence","Average Bike Cadence","Max Bike Cadence","Average Power","Max Power","Vertical Oscillation","Ground Contact Time","Average Stride Length"
"Oct 2018","8","58.17 mi","7.27 mi","10.98 mi","6:45:13 h:m:s","50:39 h:m:s","1:19:03 h:m:s","4,857 C","1,253 ft","157 ft","322 ft","1,076 ft","135 ft","197 ft","8.8 mph","37.2 mph","6:49 min/mi","1:37 min/mi","155 bpm","203 bpm","81 spm","117 spm","--","--","--","--","10.9 cm","197 ms","1.45 m"
"Sep 2018","18","95.91 mi","5.33 mi","10.59 mi","12:10:57 h:m:s","40:36 h:m:s","1:17:34 h:m:s","8,335 C","1,523 ft","109 ft","338 ft","1,421 ft","101 ft","338 ft","8.0 mph","36.5 mph","7:33 min/mi","1:39 min/mi","159 bpm","195 bpm","76 spm","116 spm","--","--","--","--","10.9 cm","203 ms","1.36 m"
"Aug 2018","15","82.57 mi","5.50 mi","10.43 mi","11:43:51 h:m:s","46:55 h:m:s","1:14:40 h:m:s","7,096 C","6,578 ft","548 ft","1,229 ft","7,771 ft","648 ft","1,265 ft","7.1 mph","90.1 mph","8:27 min/mi","0:40 min/mi","--","--","73 spm","113 spm","77 rpm","81 rpm","--","--","--","--","1.30 m"
"Jul 2018","13","60.66 mi","4.67 mi","6.52 mi","7:46:03 h:m:s","35:51 h:m:s","54:35 h:m:s","5,401 C","2,898 ft","263 ft","898 ft","2,511 ft","228 ft","900 ft","7.9 mph","14.8 mph","7:38 min/mi","4:03 min/mi","152 bpm","179 bpm","77 spm","111 spm","--","--","--","--","12.9 cm","190 ms","1.36 m"
"Jun 2018","10","43.63 mi","4.36 mi","7.23 mi","5:48:57 h:m:s","34:54 h:m:s","54:44 h:m:s","4,070 C","1,997 ft","222 ft","944 ft","2,035 ft","226 ft","943 ft","7.5 mph","61.6 mph","7:58 min/mi","0:58 min/mi","--","--","79 spm","119 spm","--","--","--","--","--","--","1.28 m"
"May 2018","7","51.57 mi","7.37 mi","11.45 mi","6:57:29 h:m:s","59:38 h:m:s","1:34:41 h:m:s","4,155 C","1,526 ft","218 ft","401 ft","1,839 ft","263 ft","667 ft","7.5 mph","41.0 mph","8:03 min/mi","1:28 min/mi","143 bpm","176 bpm","75 spm","127 spm","--","--","--","--","11.6 cm","218 ms","1.30 m"
"Apr 2018","21","155.02 mi","7.38 mi","13.65 mi","20:11:30 h:m:s","57:41 h:m:s","1:48:33 h:m:s","12,686 C","7,021 ft","413 ft","1,828 ft","8,055 ft","474 ft","2,004 ft","7.7 mph","19.4 mph","7:47 min/mi","3:05 min/mi","141 bpm","180 bpm","76 spm","127 spm","--","--","--","--","10.3 cm","177 ms","1.27 m"
"Mar 2018","20","137.88 mi","6.89 mi","12.77 mi","18:29:57 h:m:s","55:30 h:m:s","1:34:17 h:m:s","12,410 C","5,013 ft","251 ft","1,191 ft","6,247 ft","312 ft","1,380 ft","7.5 mph","124.5 mph","7:59 min/mi","0:29 min/mi","--","--","76 spm","123 spm","--","--","--","--","--","--","1.30 m"
"Feb 2018","19","124.74 mi","6.57 mi","11.06 mi","15:45:50 h:m:s","49:47 h:m:s","1:22:26 h:m:s","11,469 C","4,827 ft","284 ft","1,267 ft","6,168 ft","386 ft","1,443 ft","8.0 mph","41.4 mph","7:30 min/mi","1:27 min/mi","--","--","82 spm","121 spm","--","--","--","--","--","--","1.30 m"
"Jan 2018","14","70.89 mi","5.06 mi","10.28 mi","9:07:11 h:m:s","39:05 h:m:s","1:14:57 h:m:s","6,483 C","2,056 ft","158 ft","534 ft","3,173 ft","264 ft","1,130 ft","7.6 mph","18.0 mph","7:55 min/mi","3:20 min/mi","--","--","76 spm","121 spm","--","--","--","--","--","--","1.32 m"
