"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Elevation Loss","Avg Elevation Loss","Max Elevation Loss","Average Speed","Max Speed","Average Pace","Best Pace","Average Heart Rate","Max Heart Rate","Average Run Cadence","Max Run Cadence","Average Bike Cadence","Max Bike Cadence","Average Power","Max Power","Vertical Oscillation","Ground Contact Time","Average Stride Length"
"10/08/2018","2","18.31 mi","9.15 mi","10.98 mi","2:10:01 h:m:s","1:05:00 h:m:s","1:19:03 h:m:s","1,520 C","262 ft","131 ft","164 ft","217 ft","108 ft","148 ft","8.5 mph","37.2 mph","7:05 min/mi","1:37 min/mi","154 bpm","203 bpm","82 spm","112 spm","--","--","--","--","10.5 cm","204 ms","1.37 m"
"10/01/2018","6","39.86 mi","6.64 mi","9.75 mi","4:35:12 h:m:s","45:52 h:m:s","1:15:39 h:m:s","3,337 C","991 ft","165 ft","322 ft","860 ft","143 ft","197 ft","8.9 mph","13.4 mph","6:44 min/mi","4:29 min/mi","155 bpm","187 bpm","81 spm","117 spm","--","--","--","--","11.0 cm","194 ms","1.47 m"
"09/24/2018","5","42.06 mi","8.41 mi","10.59 mi","4:57:09 h:m:s","59:26 h:m:s","1:17:34 h:m:s","3,561 C","968 ft","194 ft","338 ft","889 ft","178 ft","338 ft","8.6 mph","12.1 mph","6:57 min/mi","4:57 min/mi","158 bpm","185 bpm","81 spm","112 spm","--","--","--","--","11.0 cm","206 ms","1.42 m"
"09/17/2018","8","33.75 mi","4.22 mi","6.69 mi","4:01:50 h:m:s","30:14 h:m:s","46:34 h:m:s","2,925 C","496 ft","62 ft","154 ft","467 ft","58 ft","151 ft","8.3 mph","36.5 mph","7:11 min/mi","1:39 min/mi","160 bpm","195 bpm","77 spm","116 spm","--","--","--","--","10.8 cm","200 ms","1.39 m"
"09/10/2018","3","13.14 mi","4.38 mi","4.80 mi","2:01:28 h:m:s","40:29 h:m:s","54:40 h:m:s","1,222 C","--","--","--","--","--","--","6.9 mph","14.3 mph","8:45 min/mi","4:12 min/mi","--","--","69 spm","88 spm","--","--","--","--","--","--","1.31 m"
"09/03/2018","1","2.04 mi","2.04 mi","2.04 mi","17:07 h:m:s","17:07 h:m:s","17:07 h:m:s","192 C","--","--","--","--","--","--","7.1 mph","9.0 mph","8:24 min/mi","6:40 min/mi","--","--","81 spm","91 spm","--","--","--","--","--","--","1.18 m"
"08/27/2018","4","13.59 mi","3.40 mi","7.58 mi","2:07:32 h:m:s","31:53 h:m:s","1:03:04 h:m:s","1,242 C","644 ft","322 ft","585 ft","1,257 ft","628 ft","1,192 ft","6.4 mph","15.9 mph","9:20 min/mi","3:46 min/mi","--","--","67 spm","108 spm","--","--","--","--","--","--","1.29 m"
"08/20/2018","1","7.47 mi","7.47 mi","7.47 mi","1:02:40 h:m:s","1:02:40 h:m:s","1:02:40 h:m:s","689 C","661 ft","661 ft","661 ft","1,265 ft","1,265 ft","1,265 ft","7.2 mph","10.1 mph","8:23 min/mi","5:55 min/mi","--","--","78 spm","113 spm","--","--","--","--","--","--","1.22 m"
"08/13/2018","5","30.28 mi","6.06 mi","10.43 mi","4:10:36 h:m:s","50:07 h:m:s","1:13:10 h:m:s","2,248 C","1,100 ft","220 ft","553 ft","664 ft","133 ft","440 ft","7.3 mph","90.1 mph","8:11 min/mi","0:40 min/mi","--","--","76 spm","91 spm","77 rpm","81 rpm","--","--","--","--","1.30 m"
"08/06/2018","3","16.20 mi","5.40 mi","7.53 mi","2:04:05 h:m:s","41:22 h:m:s","52:49 h:m:s","1,513 C","1,136 ft","568 ft","951 ft","1,103 ft","552 ft","921 ft","7.9 mph","46.0 mph","7:34 min/mi","1:18 min/mi","--","--","75 spm","94 spm","--","--","--","--","--","--","1.40 m"
